Comment,Designator,Footprint,LCSC
10uF,"C2,C3,C4",C_0805_2012Metric,C15850
USB_C_Receptacle_USB2.0,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
10k,"R1,R11,R16,R17,R18,R20",R_0805_2012Metric,C17414
120,R2,R_0805_2012Metric,C17437
4.7k,"R10,R12,R13,R14,R19,R3,R9",R_0805_2012Metric,C17673
D3V3XA4B10LP,U3,Diodes_UDFN-10_1.0x2.5mm_P0.5mm,C1980462
AO3400A,"Q1,Q2,Q3,Q5",SOT-23,C20917
LED,D2,LED_0603_1608Metric,C2286
5.1k,"R4,R5,R8",R_0805_2012Metric,C27834
1uF,"C12,C13",C_0805_2012Metric,C28323
SW_MEC_5E,"ACTION1,RESET1",SW_Push_1P1T_XKB_TS-1187A,C318884
0.1uF,"C1,C5,C6",C_0805_2012Metric,C49678
5024940670,J3,Molex_CLIK-Mate_502494-0670_1x06-1MP_P2.00mm_Horizontal,C587930
AMS1117-3.3,U1,SOT-223-3_TabPin2,C6186
ICM-20948,U5,QFN24_3X3X0P9_IVS,C726001
TLV70018_SOT23-5,U7,SOT-23-5,C79924
1N4148W,D3,D_SOD-123,C81598
TJA1051T,U2,SOIC-8_3.9x4.9mm_P1.27mm,C92211
